zip,city,county,state,pop,jobs
02132,West Roxbury,Suffolk,MA,27801,381
91321,Newhall,Los Angeles,CA,34014,380
22032,Fairfax,Fairfax,VI,31201,380
80219,Denver,Denver,CO,70638,380
98002,Auburn,King,WA,33468,380
75075,Plano,Collin,TX,38283,380
60609,Chicago,Cook,IL,60939,380
60629,Chicago,Cook,IL,110029,380
19422,Blue Bell,Montgomery,PA,18852,380
02461,Newton Highlands,Middlesex,MA,7084,380
01776,Sudbury,Middlesex,MA,19122,380
80203,Denver,Denver,CO,21392,379
75208,Dallas,Dallas,TX,29706,379
02466,Auburndale,Middlesex,MA,8929,379
02053,Medway,Norfolk,MA,13325,379
02155,Medford,Middlesex,MA,59735,379
02062,Norwood,Norfolk,MA,29306,379
02140,Cambridge,Middlesex,MA,21490,379
92688,Rancho Santa Margarita,Orange,CA,44832,378
94605,Oakland,Alameda,CA,43399,378
80021,Broomfield,Jefferson,CO,34097,378
98072,Woodinville,King,WA,23939,378
60440,Bolingbrook,Will,IL,52273,378
60090,Wheeling,Cook,IL,38553,378
19002,Ambler,Montgomery,PA,32241,378
75228,Dallas,Dallas,TX,73976,378
19074,Norwood,Delaware,PA,5893,378
76054,Hurst,Tarrant,TX,12280,378
02464,Newton Upper Falls,Middlesex,MA,3326,378
80020,Broomfield,Boulder,CO,50491,378
92694,Ladera Ranch,Orange,CA,29570,377
80238,Denver,Denver,CO,21632,377
85008,Phoenix,Maricopa,AZ,62340,377
02136,Hyde Park,Suffolk,MA,35213,377
02476,Arlington,Middlesex,MA,17426,377
02465,West Newton,Middlesex,MA,11814,377
02138,Cambridge,Middlesex,MA,38504,377
22153,Springfield,Fairfax,VI,31196,377
02116,Boston,Suffolk,MA,23157,377
02081,Walpole,Norfolk,MA,19904,377
30324,Atlanta,Fulton,GA,27806,376
80202,Denver,Denver,CO,15287,376
19057,Levittown,Bucks,PA,17449,376
08010,Beverly,Burlington,NJ,10983,376
19076,Prospect Park,Delaware,PA,6555,376
02090,Westwood,Norfolk,MA,16154,376
02468,Waban,Middlesex,MA,5623,376
01754,Maynard,Middlesex,MA,10754,376
02144,Somerville,Middlesex,MA,24818,376
02421,Lexington,Middlesex,MA,18622,376
94556,Moraga,Contra Costa,CA,16428,375
22015,Burke,Fairfax,VI,44523,375
80226,Denver,Jefferson,CO,33597,375
18929,Jamison,Bucks,PA,9570,375
60463,Palos Heights,Cook,IL,14798,375
75025,Plano,Collin,TX,53764,375
75023,Plano,Collin,TX,50431,375
08102,Camden,Camden,NJ,7639,375
02139,Cambridge,Middlesex,MA,38715,375
02145,Somerville,Middlesex,MA,28402,375
98026,Edmonds,Snohomish,WA,37995,374
85016,Phoenix,Maricopa,AZ,35930,374
85018,Phoenix,Maricopa,AZ,38473,374
60654,Chicago,Cook,IL,20022,374
02130,Jamaica Plain,Suffolk,MA,40749,374
02143,Somerville,Middlesex,MA,25327,374
94601,Oakland,Alameda,CA,53039,373
85015,Phoenix,Maricopa,AZ,41895,373
60652,Chicago,Cook,IL,43447,373
19073,Newtown Square,Delaware,PA,19763,373
75022,Flower Mound,Denton,TX,27201,373
02148,Malden,Middlesex,MA,60984,373
85040,Phoenix,Maricopa,AZ,35204,373
98014,Carnation,King,WA,6773,372
80022,Commerce City,Adams,CO,51863,372
30319,Atlanta,Dekalb,GA,43011,372
19055,Levittown,Bucks,PA,14032,372
60610,Chicago,Cook,IL,40548,372
60601,Chicago,Cook,IL,15083,372
75203,Dallas,Dallas,TX,17367,372
02120,Boston,Suffolk,MA,15188,372
02052,Medfield,Norfolk,MA,12841,372
98037,Lynnwood,Snohomish,WA,30485,372
30341,Atlanta,Dekalb,GA,32601,371
80232,Denver,Jefferson,CO,22705,371
94541,Hayward,Alameda,CA,65928,371
80214,Denver,Jefferson,CO,26711,371
19401,Norristown,Montgomery,PA,41897,371
02149,Everett,Middlesex,MA,46118,371
80241,Denver,Adams,CO,33638,370
18976,Warrington,Bucks,PA,20681,370
85251,Scottsdale,Maricopa,AZ,41102,370
60803,Alsip,Cook,IL,22405,370
20794,Jessup,Howard,MD,17939,370
02124,Boston,Suffolk,MA,56649,370
20850,Rockville,Montgomery,MD,53176,369
30308,Atlanta,Fulton,GA,18839,369
60053,Morton Grove,Cook,IL,23089,369
60636,Chicago,Cook,IL,30024,369
75210,Dallas,Dallas,TX,8673,369
08880,South Bound Brook,Somerset,NJ,4534,369
02032,East Walpole,Norfolk,MA,4194,369
02420,Lexington,Middlesex,MA,14718,369
02118,Boston,Suffolk,MA,28262,369
02474,Arlington,Middlesex,MA,27878,369
22033,Fairfax,Fairfax,VI,39478,368
30309,Atlanta,Fulton,GA,26526,368
94580,San Lorenzo,Alameda,CA,30488,368
94555,Fremont,Alameda,CA,38478,368
80216,Denver,Denver,CO,13662,368
85017,Phoenix,Maricopa,AZ,42656,368
21046,Columbia,Howard,MD,15655,368
60605,Chicago,Cook,IL,29060,368
06830,Greenwich,Fairfield,CT,25036,368
02141,Cambridge,Middlesex,MA,14522,368
02126,Mattapan,Suffolk,MA,29620,368
20745,Oxon Hill,Prince Georges,MD,27790,367
98036,Lynnwood,Snohomish,WA,40723,367
80004,Arvada,Jefferson,CO,36595,367
85014,Phoenix,Maricopa,AZ,27623,367
19454,North Wales,Montgomery,PA,28977,367
19033,Folsom,Delaware,PA,8826,367
02131,Roslindale,Suffolk,MA,34419,367
98023,Federal Way,King,WA,50201,367
22060,Fort Belvoir,Fairfax,VI,9489,366
20853,Rockville,Montgomery,MD,31061,366
80033,Wheat Ridge,Jefferson,CO,25755,366
80209,Denver,Denver,CO,25367,366
21029,Clarksville,Howard,MD,10895,366
75074,Plano,Collin,TX,52259,366
02142,Cambridge,Middlesex,MA,3676,366
01720,Acton,Middlesex,MA,22791,366
22306,Alexandria,Fairfax,VI,35425,365
94544,Hayward,Alameda,CA,79747,365
80212,Denver,Denver,CO,19552,365
30328,Atlanta,Fulton,GA,38648,365
60026,Glenview Nas,Cook,IL,14021,365
02121,Boston,Suffolk,MA,30159,365
60611,Chicago,Cook,IL,33224,365
60133,Hanover Park,Cook,IL,38113,364
60103,Bartlett,Cook,IL,41755,364
80007,Arvada,Jefferson,CO,13783,364
80206,Denver,Denver,CO,25066,364
80223,Denver,Denver,CO,19972,364
85009,Phoenix,Maricopa,AZ,51711,364
85012,Phoenix,Maricopa,AZ,7492,364
60618,Chicago,Cook,IL,94907,364
75052,Grand Prairie,Dallas,TX,95495,364
